,id,region,start,end,strand
40046,40046,ENST00000621682,422,622,+
46792,46792,ENST00000637083,270,470,+
10130,10130,ENST00000377482,71,271,+
26320,26320,ENST00000646730,61,261,+
25427,25427,ENST00000567004,26,226,+
24284,24284,ENST00000541352,1315,1515,+
812,812,ENST00000232458,714,914,+
24040,24040,ENST00000617879,401,601,+
32044,32044,ENST00000551297,25,225,+
17843,17843,ENST00000366570,777,977,+
37077,37077,ENST00000393766,177,377,+
26953,26953,ENST00000397030,1777,1977,+
29936,29936,ENST00000528160,4,204,+
14681,14681,ENST00000374876,698,898,+
2101,2101,ENST00000518338,146,346,+
45522,45522,ENST00000495401,134,334,+
27709,27709,ENST00000616863,21,221,+
11403,11403,ENST00000392720,202,402,+
9421,9421,ENST00000338581,2721,2921,+
44549,44549,ENST00000329433,716,916,+
23237,23237,ENST00000431664,146,346,+
48616,48616,ENST00000411425,162,362,+
32706,32706,ENST00000361131,89,289,+
41312,41312,ENST00000357948,2427,2627,+
9439,9439,ENST00000319006,499,699,+
5737,5737,ENST00000371962,1789,1989,+
24836,24836,ENST00000395511,524,724,+
32621,32621,ENST00000423982,928,1128,+
40503,40503,ENST00000520359,3458,3658,+
11579,11579,ENST00000620510,380,580,+
6251,6251,ENST00000351948,2414,2614,+
4069,4069,ENST00000640607,1237,1437,+
5635,5635,ENST00000194097,871,1071,+
19795,19795,ENST00000409363,563,763,+
11888,11888,ENST00000530514,153,353,+
7983,7983,ENST00000448616,1114,1314,+
44821,44821,ENST00000447241,929,1129,+
3369,3369,ENST00000616983,195,395,+
42473,42473,ENST00000264036,1265,1465,+
8649,8649,ENST00000646998,1892,2092,+
29676,29676,ENST00000379717,543,743,+
37627,37627,ENST00000460469,566,766,+
41969,41969,ENST00000488478,74,274,+
35501,35501,ENST00000443866,3646,3846,+
11724,11724,ENST00000262435,1473,1673,+
32090,32090,ENST00000341369,11,211,+
5320,5320,ENST00000394384,607,807,+
8441,8441,ENST00000563504,75,275,+
22226,22226,ENST00000267996,24,224,+
45166,45166,ENST00000304698,1735,1935,+
24387,24387,ENST00000509482,395,595,+
44761,44761,ENST00000336169,292,492,+
17783,17783,ENST00000503673,2313,2513,+
11880,11880,ENST00000405159,394,594,+
11366,11366,ENST00000441012,200,400,+
11649,11649,ENST00000573081,61,261,+
49658,49658,ENST00000446477,1693,1893,+
26701,26701,ENST00000366497,2703,2903,+
23756,23756,ENST00000558760,37,237,+
28857,28857,ENST00000250693,714,914,+
41541,41541,ENST00000371325,160,360,+
42947,42947,ENST00000320619,395,595,+
3008,3008,ENST00000558964,3883,4083,+
30317,30317,ENST00000543566,128,328,+
5866,5866,ENST00000418224,1510,1710,+
48200,48200,ENST00000543942,335,535,+
30155,30155,ENST00000527937,423,623,+
24314,24314,ENST00000525053,500,700,+
41676,41676,ENST00000429589,67,267,+
31517,31517,ENST00000373855,4696,4896,+
46206,46206,ENST00000545074,924,1124,+
38573,38573,ENST00000542720,135,335,+
28973,28973,ENST00000307746,34,234,+
49533,49533,ENST00000520220,1027,1227,+
33460,33460,ENST00000555892,14,214,+
24467,24467,ENST00000356783,299,499,+
17074,17074,ENST00000243189,291,491,+
39632,39632,ENST00000600044,1758,1958,+
36564,36564,ENST00000338176,352,552,+
39192,39192,ENST00000537840,345,545,+
6864,6864,ENST00000253110,75,275,+
42645,42645,ENST00000641499,100,300,+
36433,36433,ENST00000326877,594,794,+
49018,49018,ENST00000281273,387,587,+
46462,46462,ENST00000356698,99,299,+
20004,20004,ENST00000238607,163,363,+
8678,8678,ENST00000359470,297,497,+
44273,44273,ENST00000524542,244,444,+
32229,32229,ENST00000563587,396,596,+
19264,19264,ENST00000316603,796,996,+
10227,10227,ENST00000472186,768,968,+
40792,40792,ENST00000371850,1480,1680,+
42195,42195,ENST00000266732,652,852,+
15301,15301,ENST00000398560,271,471,+
45977,45977,ENST00000622775,122,322,+
41186,41186,ENST00000409826,382,582,+
23971,23971,ENST00000599883,7,207,+
35212,35212,ENST00000611552,320,520,+
24117,24117,ENST00000464076,31,231,+
12707,12707,ENST00000375238,488,688,+
19578,19578,ENST00000558033,16,216,+
22251,22251,ENST00000648260,584,784,+
35666,35666,ENST00000464624,613,813,+
15925,15925,ENST00000584220,60,260,+
42220,42220,ENST00000599000,88,288,+
33388,33388,ENST00000419113,53,253,+
22945,22945,ENST00000454498,496,696,+
18328,18328,ENST00000535489,824,1024,+
36225,36225,ENST00000505052,2340,2540,+
16623,16623,ENST00000254998,26,226,+
2002,2002,ENST00000341360,1752,1952,+
8937,8937,ENST00000317477,193,393,+
46048,46048,ENST00000438132,607,807,+
28256,28256,ENST00000505231,1096,1296,+
44010,44010,ENST00000412723,797,997,+
21557,21557,ENST00000315596,1415,1615,+
47850,47850,ENST00000286827,2947,3147,+
15573,15573,ENST00000592782,846,1046,+
38655,38655,ENST00000259335,161,361,+
8843,8843,ENST00000524815,16,216,+
48768,48768,ENST00000338732,481,681,+
24655,24655,ENST00000582036,1060,1260,+
36216,36216,ENST00000308511,1705,1905,+
14636,14636,ENST00000339446,487,687,+
14097,14097,ENST00000562787,1105,1305,+
15860,15860,ENST00000552397,151,351,+
16203,16203,ENST00000375615,80,280,+
31754,31754,ENST00000641031,171,371,+
14426,14426,ENST00000407228,1166,1366,+
22421,22421,ENST00000321617,2964,3164,+
13848,13848,ENST00000347619,95,295,+
13711,13711,ENST00000242465,130,330,+
13502,13502,ENST00000641686,1040,1240,+
14347,14347,ENST00000340912,312,512,+
21771,21771,ENST00000394249,466,666,+
47051,47051,ENST00000373525,901,1101,+
17085,17085,ENST00000378116,1847,2047,+
41079,41079,ENST00000398473,763,963,+
48314,48314,ENST00000376629,256,456,+
6405,6405,ENST00000371759,48,248,+
10133,10133,ENST00000320963,801,1001,+
35044,35044,ENST00000536444,1021,1221,+
22345,22345,ENST00000553716,152,352,+
14992,14992,ENST00000527011,1396,1596,+
9500,9500,ENST00000439986,212,412,+
27795,27795,ENST00000380381,63,263,+
15716,15716,ENST00000650754,122,322,+
46424,46424,ENST00000360066,792,992,+
32195,32195,ENST00000260585,645,845,+
29937,29937,ENST00000559237,156,356,+
22017,22017,ENST00000647203,672,872,+
28945,28945,ENST00000653241,1262,1462,+
13191,13191,ENST00000229340,190,390,+
46608,46608,ENST00000379594,6,206,+
21084,21084,ENST00000367048,738,938,+
34199,34199,ENST00000502653,1336,1536,+
8056,8056,ENST00000314073,1095,1295,+
31712,31712,ENST00000304552,686,886,+
35487,35487,ENST00000554864,709,909,+
34879,34879,ENST00000357901,1211,1411,+
16641,16641,ENST00000375068,1346,1546,+
49996,49996,ENST00000342970,182,382,+
32617,32617,ENST00000494430,108,308,+
16464,16464,ENST00000513682,17,217,+
46294,46294,ENST00000579984,5,205,+
49333,49333,ENST00000340650,540,740,+
335,335,ENST00000583221,2,202,+
17399,17399,ENST00000332047,359,559,+
31475,31475,ENST00000447360,95,295,+
41739,41739,ENST00000339673,849,1049,+
5768,5768,ENST00000640530,108,308,+
40457,40457,ENST00000355849,411,611,+
9567,9567,ENST00000647960,104,304,+
15642,15642,ENST00000507146,461,661,+
29324,29324,ENST00000615779,10503,10703,+
14790,14790,ENST00000529546,112,312,+
38613,38613,ENST00000534968,263,463,+
43131,43131,ENST00000383282,83,283,+
38771,38771,ENST00000340781,468,668,+
22991,22991,ENST00000370573,85,285,+
31962,31962,ENST00000479765,1124,1324,+
21807,21807,ENST00000310169,915,1115,+
45571,45571,ENST00000328663,15,215,+
4245,4245,ENST00000553756,4,204,+
12102,12102,ENST00000401450,14,214,+
15279,15279,ENST00000443575,1551,1751,+
28281,28281,ENST00000445832,291,491,+
14466,14466,ENST00000318317,52,252,+
1224,1224,ENST00000644698,136,336,+
5143,5143,ENST00000440284,508,708,+
7709,7709,ENST00000414447,486,686,+
638,638,ENST00000558184,188,388,+
36853,36853,ENST00000433045,328,528,+
21088,21088,ENST00000261168,2233,2433,+
12633,12633,ENST00000333172,1842,2042,+
10318,10318,ENST00000599056,312,512,+
43559,43559,ENST00000528398,293,493,+
31733,31733,ENST00000511747,1022,1222,+
7733,7733,ENST00000440274,327,527,+
23699,23699,ENST00000434006,50,250,+
27263,27263,ENST00000375065,45,245,+
37762,37762,ENST00000381440,573,773,+
26221,26221,ENST00000643875,1661,1861,+
24075,24075,ENST00000399137,191,391,+
5130,5130,ENST00000518901,26,226,+
26509,26509,ENST00000450285,71,271,+
19974,19974,ENST00000274813,1402,1602,+
35407,35407,ENST00000307198,306,506,+
45581,45581,ENST00000539214,51,251,+
33990,33990,ENST00000360167,886,1086,+
28954,28954,ENST00000641718,655,855,+
20368,20368,ENST00000493930,1787,1987,+
7447,7447,ENST00000454668,445,645,+
37787,37787,ENST00000253401,901,1101,+
36604,36604,ENST00000320516,535,735,+
3381,3381,ENST00000316770,194,394,+
29603,29603,ENST00000535809,391,591,+
28239,28239,ENST00000559488,1279,1479,+
46512,46512,ENST00000515215,0,200,+
28210,28210,ENST00000456748,786,986,+
23306,23306,ENST00000356239,8945,9145,+
16547,16547,ENST00000643689,918,1118,+
37721,37721,ENST00000528057,259,459,+
6104,6104,ENST00000570262,278,478,+
10659,10659,ENST00000645548,1011,1211,+
19906,19906,ENST00000374949,163,363,+
40613,40613,ENST00000305958,1396,1596,+
27922,27922,ENST00000389418,309,509,+
31082,31082,ENST00000221818,198,398,+
12679,12679,ENST00000620009,331,531,+
29627,29627,ENST00000262124,860,1060,+
46091,46091,ENST00000643851,235,435,+
6799,6799,ENST00000420510,201,401,+
32554,32554,ENST00000393527,291,491,+
2480,2480,ENST00000627814,100,300,+
27863,27863,ENST00000370416,924,1124,+
10830,10830,ENST00000436361,1032,1232,+
32508,32508,ENST00000540386,638,838,+
38615,38615,ENST00000571186,158,358,+
10515,10515,ENST00000373306,507,707,+
37230,37230,ENST00000620220,471,671,+
40619,40619,ENST00000378486,1425,1625,+
13982,13982,ENST00000426538,18,218,+
8973,8973,ENST00000428468,716,916,+
13838,13838,ENST00000465269,128,328,+
1639,1639,ENST00000448481,1350,1550,+
11374,11374,ENST00000594582,233,433,+
10083,10083,ENST00000597451,118,318,+
29129,29129,ENST00000450765,53,253,+
35696,35696,ENST00000391723,92,292,+
29828,29828,ENST00000540799,102,302,+
11614,11614,ENST00000587544,706,906,+
13228,13228,ENST00000650817,297,497,+
14081,14081,ENST00000290722,623,823,+
38883,38883,ENST00000375078,1,201,+
35752,35752,ENST00000438389,159,359,+
12849,12849,ENST00000368003,262,462,+
22316,22316,ENST00000549493,447,647,+
7509,7509,ENST00000264668,28,228,+
38484,38484,ENST00000409908,190,390,+
41097,41097,ENST00000616395,8,208,+
35097,35097,ENST00000538027,485,685,+
43587,43587,ENST00000573070,71,271,+
33995,33995,ENST00000590615,464,664,+
33157,33157,ENST00000416865,364,564,+
45057,45057,ENST00000249700,390,590,+
19661,19661,ENST00000488066,44,244,+
2465,2465,ENST00000602719,0,200,+
16777,16777,ENST00000671185,1743,1943,+
31768,31768,ENST00000392276,16,216,+
44213,44213,ENST00000160373,998,1198,+
44495,44495,ENST00000463359,83,283,+
13613,13613,ENST00000532677,878,1078,+
45211,45211,ENST00000373706,944,1144,+
38364,38364,ENST00000457953,1710,1910,+
34040,34040,ENST00000628426,1061,1261,+
28755,28755,ENST00000361507,1537,1737,+
49619,49619,ENST00000464857,285,485,+
20550,20550,ENST00000610361,659,859,+
8808,8808,ENST00000217159,252,452,+
45418,45418,ENST00000296257,911,1111,+
5566,5566,ENST00000223051,962,1162,+
22381,22381,ENST00000663595,320,520,+
7608,7608,ENST00000369085,794,994,+
31494,31494,ENST00000427183,2306,2506,+
20888,20888,ENST00000360905,1447,1647,+
24946,24946,ENST00000273395,3083,3283,+
1437,1437,ENST00000397857,990,1190,+
43274,43274,ENST00000226725,1075,1275,+
42353,42353,ENST00000257408,2079,2279,+
19754,19754,ENST00000356289,494,694,+
18081,18081,ENST00000355661,450,650,+
42253,42253,ENST00000618972,19325,19525,+
40705,40705,ENST00000371464,42,242,+
531,531,ENST00000602787,28,228,+
10768,10768,ENST00000266069,484,684,+
45001,45001,ENST00000382776,221,421,+
40306,40306,ENST00000176643,822,1022,+
32730,32730,ENST00000490677,658,858,+
22231,22231,ENST00000535432,331,531,+
33608,33608,ENST00000522727,879,1079,+
44802,44802,ENST00000395339,358,558,+
34717,34717,ENST00000620350,96,296,+
38024,38024,ENST00000334063,19,219,+
9812,9812,ENST00000416707,5,205,+
11054,11054,ENST00000335397,649,849,+
38154,38154,ENST00000342404,483,683,+
41992,41992,ENST00000257118,559,759,+
30120,30120,ENST00000245787,215,415,+
16263,16263,ENST00000344546,141,341,+
7034,7034,ENST00000392041,1,201,+
5802,5802,ENST00000545921,1732,1932,+
33775,33775,ENST00000497329,194,394,+
36010,36010,ENST00000592581,203,403,+
20741,20741,ENST00000567669,42,242,+
29556,29556,ENST00000232375,1137,1337,+
49195,49195,ENST00000656872,252,452,+
3217,3217,ENST00000555002,3428,3628,+
16949,16949,ENST00000432752,406,606,+
175,175,ENST00000455539,22,222,+
44646,44646,ENST00000216214,775,975,+
45848,45848,ENST00000371172,34,234,+
42396,42396,ENST00000368687,215,415,+
31108,31108,ENST00000356661,280,480,+
19314,19314,ENST00000328300,1435,1635,+
38995,38995,ENST00000372168,132,332,+
41613,41613,ENST00000257632,282,482,+
744,744,ENST00000252590,218,418,+
40688,40688,ENST00000377037,374,574,+
48485,48485,ENST00000651230,851,1051,+
44005,44005,ENST00000396577,2841,3041,+
41238,41238,ENST00000292538,1050,1250,+
22801,22801,ENST00000490078,65,265,+
7703,7703,ENST00000535898,469,669,+
20271,20271,ENST00000645858,159,359,+
35940,35940,ENST00000361432,143,343,+
36314,36314,ENST00000525409,62,262,+
2570,2570,ENST00000299164,806,1006,+
46250,46250,ENST00000620245,1730,1930,+
11845,11845,ENST00000444427,187,387,+
2519,2519,ENST00000370471,965,1165,+
37221,37221,ENST00000489932,137,337,+
5058,5058,ENST00000198767,706,906,+
43793,43793,ENST00000436336,315,515,+
23032,23032,ENST00000621130,323,523,+
1957,1957,ENST00000369051,183,383,+
47903,47903,ENST00000589332,296,496,+
44634,44634,ENST00000552740,222,422,+
24104,24104,ENST00000591054,42,242,+
12023,12023,ENST00000411977,71,271,+
7095,7095,ENST00000399207,309,509,+
15426,15426,ENST00000340124,380,580,+
15674,15674,ENST00000289382,281,481,+
38486,38486,ENST00000361548,69,269,+
26799,26799,ENST00000397801,3283,3483,+
1574,1574,ENST00000394667,78,278,+
32997,32997,ENST00000393213,1047,1247,+
9541,9541,ENST00000508447,966,1166,+
29477,29477,ENST00000320048,25,225,+
42246,42246,ENST00000392225,1188,1388,+
21455,21455,ENST00000395532,400,600,+
22511,22511,ENST00000270225,92,292,+
3223,3223,ENST00000598576,641,841,+
37002,37002,ENST00000596707,362,562,+
8457,8457,ENST00000533915,72,272,+
21313,21313,ENST00000382315,14,214,+
33843,33843,ENST00000622451,450,650,+
15512,15512,ENST00000378092,530,730,+
1927,1927,ENST00000590112,440,640,+
36326,36326,ENST00000641541,599,799,+
23334,23334,ENST00000598485,2,202,+
24584,24584,ENST00000507110,521,721,+
4488,4488,ENST00000368979,29,229,+
11088,11088,ENST00000647237,704,904,+
31526,31526,ENST00000585089,16,216,+
26165,26165,ENST00000370153,422,622,+
44344,44344,ENST00000522095,51,251,+
8058,8058,ENST00000380589,265,465,+
10483,10483,ENST00000319511,480,680,+
1842,1842,ENST00000650953,460,660,+
38320,38320,ENST00000569540,101,301,+
5690,5690,ENST00000399850,1114,1314,+
30824,30824,ENST00000379124,236,436,+
38280,38280,ENST00000454682,4202,4402,+
1601,1601,ENST00000361908,2551,2751,+
18511,18511,ENST00000358138,410,610,+
29859,29859,ENST00000426342,271,471,+
24659,24659,ENST00000469364,23,223,+
24179,24179,ENST00000515817,281,481,+
32518,32518,ENST00000333001,71,271,+
37942,37942,ENST00000638915,1042,1242,+
24337,24337,ENST00000354666,132,332,+
48304,48304,ENST00000484491,1191,1391,+
44613,44613,ENST00000292478,1330,1530,+
25090,25090,ENST00000368619,148,348,+
22720,22720,ENST00000264934,381,581,+
3244,3244,ENST00000519263,886,1086,+
22327,22327,ENST00000398136,324,524,+
42708,42708,ENST00000598034,52,252,+
29944,29944,ENST00000400075,76,276,+
18283,18283,ENST00000489219,129,329,+
43851,43851,ENST00000417080,833,1033,+
49137,49137,ENST00000620191,168,368,+
33427,33427,ENST00000465482,209,409,+
26056,26056,ENST00000262189,2952,3152,+
3962,3962,ENST00000349485,724,924,+
21741,21741,ENST00000441366,112,312,+
849,849,ENST00000513170,181,381,+
11818,11818,ENST00000264718,145,345,+
29981,29981,ENST00000423725,1664,1864,+
10022,10022,ENST00000314527,574,774,+
33987,33987,ENST00000398997,59,259,+
38355,38355,ENST00000372857,1119,1319,+
16516,16516,ENST00000346279,11,211,+
14144,14144,ENST00000437161,126,326,+
24418,24418,ENST00000374182,834,1034,+
1304,1304,ENST00000545680,141,341,+
3019,3019,ENST00000620646,138,338,+
36426,36426,ENST00000509541,14,214,+
14546,14546,ENST00000538213,861,1061,+
29788,29788,ENST00000636657,155,355,+
1233,1233,ENST00000648435,905,1105,+
11992,11992,ENST00000253812,2021,2221,+
36660,36660,ENST00000229810,891,1091,+
43961,43961,ENST00000351936,262,462,+
32754,32754,ENST00000618348,855,1055,+
24112,24112,ENST00000529022,72,272,+
33930,33930,ENST00000456905,575,775,+
31576,31576,ENST00000555192,433,633,+
49629,49629,ENST00000373655,4074,4274,+
45391,45391,ENST00000451409,2564,2764,+
424,424,ENST00000412916,282,482,+
31841,31841,ENST00000306897,302,502,+
16879,16879,ENST00000217426,418,618,+
13083,13083,ENST00000597020,66,266,+
28095,28095,ENST00000305108,187,387,+
30612,30612,ENST00000356109,1127,1327,+
4118,4118,ENST00000528453,1963,2163,+
27648,27648,ENST00000284987,128,328,+
809,809,ENST00000651004,12,212,+
24274,24274,ENST00000344277,44,244,+
28517,28517,ENST00000414274,56,256,+
48401,48401,ENST00000437750,769,969,+
38772,38772,ENST00000578476,1,201,+
15067,15067,ENST00000409823,1616,1816,+
45989,45989,ENST00000492597,1647,1847,+
19725,19725,ENST00000620920,74,274,+
11252,11252,ENST00000284602,3,203,+
33573,33573,ENST00000651634,26,226,+
38717,38717,ENST00000265371,939,1139,+
40168,40168,ENST00000399613,1053,1253,+
1208,1208,ENST00000370939,830,1030,+
11203,11203,ENST00000358707,1113,1313,+
23867,23867,ENST00000467311,325,525,+
41857,41857,ENST00000483338,972,1172,+
42241,42241,ENST00000578780,33,233,+
41351,41351,ENST00000447452,382,582,+
49826,49826,ENST00000477548,93,293,+
46790,46790,ENST00000448872,72,272,+
46910,46910,ENST00000368488,561,761,+
25977,25977,ENST00000374300,627,827,+
17098,17098,ENST00000526629,247,447,+
24332,24332,ENST00000320211,1756,1956,+
49752,49752,ENST00000398019,319,519,+
39326,39326,ENST00000282611,270,470,+
14244,14244,ENST00000425819,696,896,+
29542,29542,ENST00000318388,468,668,+
37672,37672,ENST00000371356,484,684,+
35327,35327,ENST00000493720,415,615,+
1929,1929,ENST00000372938,1411,1611,+
33401,33401,ENST00000340533,193,393,+
36812,36812,ENST00000441303,113,313,+
14392,14392,ENST00000556392,55,255,+
43913,43913,ENST00000460270,46,246,+
22729,22729,ENST00000444671,99,299,+
49190,49190,ENST00000526816,677,877,+
41926,41926,ENST00000299415,188,388,+
11780,11780,ENST00000572834,5,205,+
25946,25946,ENST00000615111,1445,1645,+
49430,49430,ENST00000412055,1098,1298,+
27051,27051,ENST00000554050,1913,2113,+
18992,18992,ENST00000232854,36,236,+
24401,24401,ENST00000335040,260,460,+
5701,5701,ENST00000392051,40,240,+
25564,25564,ENST00000443099,170,370,+
2216,2216,ENST00000641846,694,894,+
25073,25073,ENST00000417454,574,774,+
11320,11320,ENST00000507872,257,457,+
31060,31060,ENST00000264005,774,974,+
22966,22966,ENST00000540229,710,910,+
31267,31267,ENST00000360631,1763,1963,+
41822,41822,ENST00000265462,94,294,+
16314,16314,ENST00000602473,826,1026,+
4568,4568,ENST00000610922,14,214,+
28844,28844,ENST00000222266,75,275,+
40651,40651,ENST00000360820,2364,2564,+
41173,41173,ENST00000302103,683,883,+
18359,18359,ENST00000479291,114,314,+
6599,6599,ENST00000318469,224,424,+
1847,1847,ENST00000376724,381,581,+
881,881,ENST00000361539,1001,1201,+
15615,15615,ENST00000617947,39,239,+
6063,6063,ENST00000527915,599,799,+
2188,2188,ENST00000525199,661,861,+
40367,40367,ENST00000347547,822,1022,+
21481,21481,ENST00000472042,544,744,+
35760,35760,ENST00000462323,4725,4925,+
48764,48764,ENST00000305432,2307,2507,+
17330,17330,ENST00000295101,133,333,+
2781,2781,ENST00000621028,49,249,+
38229,38229,ENST00000443265,34,234,+
35306,35306,ENST00000396549,214,414,+
42525,42525,ENST00000372680,43,243,+
45367,45367,ENST00000356063,2015,2215,+
18561,18561,ENST00000615951,248,448,+
2560,2560,ENST00000367445,616,816,+
16216,16216,ENST00000533118,242,442,+
44702,44702,ENST00000470503,256,456,+
28394,28394,ENST00000652615,2,202,+
9551,9551,ENST00000408945,57,257,+
530,530,ENST00000263674,1743,1943,+
27265,27265,ENST00000438980,444,644,+
42831,42831,ENST00000391703,748,948,+
5612,5612,ENST00000646036,746,946,+
23022,23022,ENST00000421775,159,359,+
40021,40021,ENST00000542546,193,393,+
49955,49955,ENST00000263440,254,454,+
18146,18146,ENST00000647975,534,734,+
44099,44099,ENST00000380492,1293,1493,+
9978,9978,ENST00000611028,437,637,+
18390,18390,ENST00000535407,353,553,+
47383,47383,ENST00000409204,1950,2150,+
12432,12432,ENST00000279907,1831,2031,+
11363,11363,ENST00000503788,2072,2272,+
39568,39568,ENST00000644388,364,564,+
2401,2401,ENST00000317398,749,949,+
44668,44668,ENST00000619035,2007,2207,+
20064,20064,ENST00000525899,251,451,+
9635,9635,ENST00000670904,1846,2046,+
30298,30298,ENST00000538076,504,704,+
10549,10549,ENST00000529753,1839,2039,+
18764,18764,ENST00000445506,1101,1301,+
7256,7256,ENST00000233379,148,348,+
17124,17124,ENST00000377579,171,371,+
46742,46742,ENST00000588199,103,303,+
30777,30777,ENST00000395589,89,289,+
5928,5928,ENST00000409104,589,789,+
1833,1833,ENST00000352689,1865,2065,+
4753,4753,ENST00000311328,242,442,+
11482,11482,ENST00000441611,37,237,+
13691,13691,ENST00000393829,2116,2316,+
29646,29646,ENST00000487910,15,215,+
27547,27547,ENST00000496902,491,691,+
4872,4872,ENST00000403579,126,326,+
49569,49569,ENST00000182290,3,203,+
46696,46696,ENST00000614999,4661,4861,+
1472,1472,ENST00000650809,94,294,+
40700,40700,ENST00000552695,713,913,+
19617,19617,ENST00000382203,1101,1301,+
36472,36472,ENST00000446197,598,798,+
11746,11746,ENST00000524176,1864,2064,+
41588,41588,ENST00000304298,192,392,+
6692,6692,ENST00000513468,212,412,+
19943,19943,ENST00000436344,202,402,+
36739,36739,ENST00000432641,14,214,+
46069,46069,ENST00000376898,433,633,+
25247,25247,ENST00000361339,547,747,+
43103,43103,ENST00000533231,202,402,+
47538,47538,ENST00000396576,316,516,+
47682,47682,ENST00000550948,408,608,+
8662,8662,ENST00000526522,74,274,+
18840,18840,ENST00000423316,43,243,+
5314,5314,ENST00000645702,50,250,+
25347,25347,ENST00000468957,82,282,+
11657,11657,ENST00000265827,847,1047,+
43760,43760,ENST00000458625,11,211,+
10459,10459,ENST00000317749,278,478,+
44007,44007,ENST00000530958,42,242,+
5560,5560,ENST00000475289,108,308,+
25773,25773,ENST00000628511,507,707,+
31794,31794,ENST00000592896,68,268,+
18420,18420,ENST00000517588,125,325,+
12769,12769,ENST00000348513,1029,1229,+
8069,8069,ENST00000342219,671,871,+
5819,5819,ENST00000513967,54,254,+
13188,13188,ENST00000380828,1001,1201,+
37241,37241,ENST00000502539,19,219,+
12331,12331,ENST00000454590,1812,2012,+
11446,11446,ENST00000409892,86,286,+
5136,5136,ENST00000528105,172,372,+
8746,8746,ENST00000330459,1048,1248,+
41535,41535,ENST00000261776,1682,1882,+
9147,9147,ENST00000570178,48,248,+
21568,21568,ENST00000611218,19,219,+
1440,1440,ENST00000263050,18,218,+
28110,28110,ENST00000461106,1207,1407,+
13714,13714,ENST00000431993,147,347,+
9696,9696,ENST00000413208,84,284,+
29068,29068,ENST00000445033,210,410,+
1206,1206,ENST00000436743,290,490,+
40878,40878,ENST00000260257,1440,1640,+
12473,12473,ENST00000550735,918,1118,+
45323,45323,ENST00000342160,2203,2403,+
45626,45626,ENST00000370504,50,250,+
38016,38016,ENST00000375153,401,601,+
16127,16127,ENST00000392341,570,770,+
31232,31232,ENST00000430451,16,216,+
47780,47780,ENST00000375105,29,229,+
16648,16648,ENST00000598513,805,1005,+
11932,11932,ENST00000252250,1478,1678,+
9600,9600,ENST00000354371,424,624,+
48159,48159,ENST00000369638,320,520,+
12827,12827,ENST00000302273,17,217,+
27347,27347,ENST00000562563,402,602,+
12333,12333,ENST00000372440,1550,1750,+
27245,27245,ENST00000367552,22,222,+
43272,43272,ENST00000224237,151,351,+
13479,13479,ENST00000610628,494,694,+
43620,43620,ENST00000427199,401,601,+
27925,27925,ENST00000449900,16,216,+
44109,44109,ENST00000409222,259,459,+
27910,27910,ENST00000447314,23,223,+
23103,23103,ENST00000498479,1127,1327,+
14724,14724,ENST00000452400,3019,3219,+
33390,33390,ENST00000395860,419,619,+
12271,12271,ENST00000397126,1679,1879,+
10197,10197,ENST00000307533,139,339,+
15807,15807,ENST00000407144,226,426,+
35765,35765,ENST00000619572,1670,1870,+
39854,39854,ENST00000471979,515,715,+
41747,41747,ENST00000642058,699,899,+
49543,49543,ENST00000643623,109,309,+
31067,31067,ENST00000304771,1274,1474,+
14187,14187,ENST00000646985,2577,2777,+
16070,16070,ENST00000355710,2437,2637,+
49560,49560,ENST00000344338,6438,6638,+
32485,32485,ENST00000313667,510,710,+
16469,16469,ENST00000294811,61,261,+
40007,40007,ENST00000508855,146,346,+
31272,31272,ENST00000389010,605,805,+
34097,34097,ENST00000467306,151,351,+
14910,14910,ENST00000438307,547,747,+
24689,24689,ENST00000505055,33,233,+
16795,16795,ENST00000376148,152,352,+
45247,45247,ENST00000494173,9,209,+
4240,4240,ENST00000391758,430,630,+
5090,5090,ENST00000330494,1617,1817,+
25197,25197,ENST00000260453,567,767,+
30718,30718,ENST00000348108,207,407,+
6466,6466,ENST00000519520,704,904,+
40558,40558,ENST00000391738,928,1128,+
8936,8936,ENST00000535070,268,468,+
39425,39425,ENST00000424546,77,277,+
31204,31204,ENST00000585913,110,310,+
29457,29457,ENST00000652770,2213,2413,+
47881,47881,ENST00000368910,153,353,+
1315,1315,ENST00000543930,1315,1515,+
12718,12718,ENST00000296754,2026,2226,+
19672,19672,ENST00000512834,606,806,+
9223,9223,ENST00000401827,235,435,+
38266,38266,ENST00000647374,1557,1757,+
10352,10352,ENST00000367559,367,567,+
8074,8074,ENST00000369535,326,526,+
42975,42975,ENST00000523120,667,867,+
34122,34122,ENST00000628293,3,203,+
15598,15598,ENST00000409907,1822,2022,+
41493,41493,ENST00000308862,760,960,+
36361,36361,ENST00000427632,6,206,+
43275,43275,ENST00000426338,77,277,+
37269,37269,ENST00000505669,30,230,+
28599,28599,ENST00000612385,1636,1836,+
41283,41283,ENST00000554673,174,374,+
23368,23368,ENST00000391857,383,583,+
13578,13578,ENST00000520552,159,359,+
14909,14909,ENST00000327473,202,402,+
1046,1046,ENST00000371095,821,1021,+
17968,17968,ENST00000455864,258,458,+
23435,23435,ENST00000396272,741,941,+
26001,26001,ENST00000525839,423,623,+
39766,39766,ENST00000637971,13,213,+
15964,15964,ENST00000588250,8,208,+
32357,32357,ENST00000423607,92,292,+
14941,14941,ENST00000331070,26,226,+
